Model,Batch Size,Epoch,Learning Rate,Test Accuracy
CNN,16,10,0.001,95.16
CNN,16,10,0.01,98.71
CNN,16,10,0.1,99.21
CNN,16,100,0.001,95.32
CNN,16,100,0.01,98.74
CNN,16,100,0.1,99.22
CNN,16,500,0.001,95.29
CNN,16,500,0.01,98.79
CNN,16,500,0.1,99.14
CNN,64,10,0.001,91.53
CNN,64,10,0.01,96.76
CNN,64,10,0.1,98.91
CNN,64,100,0.001,91.64
CNN,64,100,0.01,96.82
CNN,64,100,0.1,98.96
CNN,64,500,0.001,91.64
CNN,64,500,0.01,96.9
CNN,64,500,0.1,98.94
CNN,256,10,0.001,84.41
CNN,256,10,0.01,94.03
CNN,256,10,0.1,98.39
CNN,256,100,0.001,84.66
CNN,256,100,0.01,94.14
CNN,256,100,0.1,98.45
CNN,256,500,0.001,84.66
CNN,256,500,0.01,94.14
CNN,256,500,0.1,98.45
